# Bad IDs, reason
C00926, invalid
C00932, invalid
C00945, invalid
C00947, invalid
C00948, invalid
C00953, invalid
C00967, invalid
C00970, invalid
C00981, invalid
C00983, invalid
C00987, invalid
C01006, invalid
C01027, invalid
C01030, invalid
C01038, invalid
C01039, invalid
C01049, invalid
C01052, invalid
C01055, invalid
C01057, invalid
C01072, invalid
C01082, invalid
C01084, invalid
C01085, invalid
C01098, invalid
C01105, invalid
C01106, invalid
C01116, invalid
C01128, invalid
C01129, invalid
C01130, invalid
C01145, invalid
C01148, invalid
C01150, invalid
C01154, invalid
C01160, invalid
C01174, invalid
C01178, invalid
C01184, invalid
C01193, invalid
C01195, invalid
C01202, invalid
C01206, invalid
C01208, invalid
C01224, invalid
C01232, invalid
C01237, invalid
C01238, invalid
C01248, invalid
C01254, invalid
C01257, invalid
C01258, invalid
C01276, invalid
C01287, invalid
C01296, invalid
C01303, invalid
C01305, invalid
C01307, invalid
C01309, invalid
C01317, invalid
C01318, invalid
C01320, invalid
C01323, invalid
C01325, invalid
C01331, invalid
C01332, invalid
C01333, invalid
C01338, invalid
C01339, invalid
C01340, invalid
C01350, invalid
C01351, invalid
C01354, invalid
C01357, invalid
C01360, invalid
C01361, invalid
C01363, invalid
C01364, invalid
C01366, invalid
C01369, invalid
C01373, invalid
C01374, invalid
C01376, invalid
C01377, invalid
C01379, invalid
C01381, invalid
C01383, invalid
C01385, invalid
C01388, invalid
C01391, invalid
C01393, invalid
C01395, invalid
C01396, invalid
C01400, invalid
C01406, invalid
C01409, invalid
C01415, invalid
C01422, invalid
C01423, invalid
C01426, invalid
C01427, invalid
C01428, invalid
C01429, invalid
C01430, invalid
C01431, invalid
C01434, invalid
C01435, invalid
C01436, invalid
C01437, invalid
C01439, invalid
C01440, invalid
C01442, invalid
C01446, invalid
C01447, invalid
C01459, invalid
C01461, invalid
C01462, invalid
C01463, invalid
C01465, invalid
C01466, invalid
C01472, invalid
C01473, invalid
C01475, invalid
C01476, invalid
C01480, invalid
C01482, invalid
C01483, invalid
C01492, invalid
C01497, invalid
C01503, invalid
C01509, invalid
C01511, invalid
C01515, invalid
C01519, invalid
C01521, invalid
C01522, invalid
C01524, invalid
C01532, invalid
C01534, invalid
C01535, invalid
C01538, invalid
C01539, invalid
C01543, invalid
C01544, invalid
C01549, invalid
C01556, invalid
C01560, invalid
C01565, invalid
C01568, invalid
C01577, invalid
C01578, invalid
C01580, invalid
C01583, invalid
C01584, invalid
C01587, invalid
C01597, invalid
C01603, invalid
C01605, invalid
C01611, invalid
C01622, invalid
C01627, invalid
C01631, invalid
C01634, invalid
C01660, invalid
C01662, invalid
C01665, invalid
C01666, invalid
C01668, invalid
C01669, invalid
C01671, invalid
C01676, invalid
C01679, invalid
C01681, invalid
C01686, invalid
C01689, invalid
C01696, invalid
C01703, invalid
C01704, invalid
C01713, invalid
C01730, invalid
C01734, invalid
C01738, invalid
C01741, invalid
C01749, invalid
C01758, invalid
C01763, invalid
C01773, invalid
C01774, invalid
C01778, invalid
C01781, invalid
C01786, invalid
C01787, invalid
C01791, invalid
C01797, invalid
C01803, invalid
C01805, invalid
C01807, invalid
C01808, invalid
C01809, invalid
C01811, invalid
C01815, invalid
C01820, invalid
C01824, invalid
C01827, invalid
C01828, invalid
C01830, invalid
C01831, invalid
C01840, invalid
C01846, invalid
C01856, invalid
C01858, invalid
C01859, invalid
C01862, invalid
C01873, invalid
C01878, invalid
C01886, invalid
C01891, invalid
C01896, invalid
C01899, invalid
C01900, invalid
C01903, invalid
C01908, invalid
C01911, invalid
C01914, invalid
C01916, invalid
C01919, invalid
C01922, invalid
C01932, invalid
C01939, invalid
C01940, invalid
C01947, invalid
C01954, invalid
C01955, invalid
C01966, invalid
C01973, invalid
C01974, invalid
C01975, invalid
C01976, invalid
C01979, invalid
C01980, invalid
C01981, invalid
C01982, invalid
C01992, invalid
C01994, invalid
C01999, invalid
C02005, invalid
C02011, invalid
C02014, invalid
C02016, invalid
C02019, invalid
C02025, invalid
C02032, invalid
