id, reason
A105524, failed to balance
A105540, failed to balance
A105541, failed to balance
A105542, failed to balance
A105669, failed to balance
A105843, failed to balance
A106012, failed to balance
A106309, failed to balance
A106391, failed to balance
A106392, failed to balance
A106408, failed to balance
A106424, failed to balance
A106425, failed to balance
A106426, failed to balance
A106575, failed to balance
A106576, failed to balance
A106592, failed to balance
A106608, failed to balance
A106609, failed to balance
A106610, failed to balance
A107349, failed to balance
A107398, failed to balance
A107399, failed to balance
A107974, failed to balance
A107975, failed to balance
A108242, failed to balance
A108243, failed to balance
A108246, failed to balance
A108252, failed to balance
A108401, failed to balance
A108402, failed to balance
A108555, failed to balance
A108681, failed to balance
A108682, failed to balance
A108684, failed to balance
A108685, failed to balance
A108690, failed to balance
A108691, failed to balance
A108695, failed to balance
A108887, failed to balance
A108979, failed to balance
A108980, failed to balance
A109018, failed to balance
A109019, failed to balance
A109022, failed to balance
A109027, failed to balance
A109028, failed to balance
A109029, failed to balance
A109034, failed to balance
A109038, failed to balance
A109306, failed to balance
A109307, failed to balance
A109341, failed to balance
A109342, failed to balance
A109811, failed to balance
A110125, failed to balance
A110126, failed to balance
A110443, failed to balance
A110444, failed to balance
A110447, failed to balance
A110448, failed to balance
A110526, failed to balance
A110920, failed to balance
A111035, failed to balance
A111064, failed to balance
A111065, failed to balance
A111066, failed to balance
A111069, failed to balance
A111074, failed to balance
A111075, failed to balance
A111076, failed to balance
A111078, failed to balance
A111202, failed to balance
A111252, failed to balance
A111253, failed to balance
A111266, failed to balance
A111281, failed to balance
A111282, failed to balance
A111283, failed to balance
A111434, failed to balance
A111435, failed to balance
A111438, failed to balance
A111443, failed to balance
A111444, failed to balance
A111445, failed to balance
A111723, failed to balance
A111724, failed to balance
A111740, failed to balance
A111756, failed to balance
A111757, failed to balance
A111758, failed to balance
A111785, failed to balance
A111786, failed to balance
A111787, failed to balance
A111790, failed to balance
A111795, failed to balance
A111796, failed to balance
A111797, failed to balance
A111852, failed to balance
A111853, failed to balance
A111869, failed to balance
A111885, failed to balance
A111886, failed to balance
A111887, failed to balance
A111888, failed to balance
A111943, failed to balance
A111944, failed to balance
A111960, failed to balance
A111976, failed to balance
A111977, failed to balance
A111978, failed to balance
A112301, failed to balance
A112302, failed to balance
A112318, failed to balance
A112334, failed to balance
A112335, failed to balance
A112336, failed to balance
A112388, failed to balance
A112389, failed to balance
A112405, failed to balance
A112421, failed to balance
A112422, failed to balance
A112423, failed to balance
A112424, failed to balance
A112824, failed to balance
A112825, failed to balance
A112828, failed to balance
A112833, failed to balance
A112834, failed to balance
A112835, failed to balance
A113016, failed to balance
A113017, failed to balance
A113018, failed to balance
A113034, failed to balance
A113050, failed to balance
A113051, failed to balance
A113052, failed to balance
A113076, failed to balance
A113077, failed to balance
A113080, failed to balance
A113085, failed to balance
A113086, failed to balance
